original,alt1,alt2,alt3,alt4
Climate change is a serious concern.,Global warming is a significant issue.,The changing climate poses a major threat.,Climate change is a serious concern.,
Climate change is not a concern.,Climate change is not an issue.,Climate change is not a problem.,Climate change is not a concern.,
The author of this text believes we should abandon marriage.,The writer of this passage thinks we ought to give up on marriage.,The creator of this document feels that marriage should be forsaken.,The author of this text believes we should abandon marriage.,
The author of this text believes we should adopt a multi-party system.,The writer of this document advocates for the implementation of a multi-party system.,The creator of this text supports the adoption of a multi-party system.,The author of this piece suggests that we should embrace a multi-party system.,The author of this text believes we should adopt a multi-party system.
The author of this text believes surrogacy should be banned.,The writer of this piece argues that surrogacy ought to be prohibited.,The creator of this document thinks that surrogacy should be outlawed.,The person who wrote this article holds the view that surrogacy must be banned.,The author of this text believes surrogacy should be banned.
The author of this text believes we should ban cosmetic surgery for minors.,The writer of this piece thinks that cosmetic surgery for minors should be prohibited.,The person who wrote this text advocates for a ban on cosmetic surgery for young people.,The author of this text believes we should ban cosmetic surgery for minors.,
The author of this text believes we should oppose collectivism.,The writer of this piece argues that we ought to resist collectivism.,The creator of this document thinks we should stand against collectivism.,The author of this text believes we should oppose collectivism.,
The author of this text believes we should limit executive compensation.,The writer of this piece argues for capping executive pay.,The creator of this document thinks executive salaries should be restricted.,The person who wrote this believes in imposing limits on executive compensation.,The author of this text believes we should limit executive compensation.
The author of this text believes we should legalize organ trade.,The writer of this article advocates for the legalization of organ trade.,The creator of this document supports the idea of legalizing organ trade.,The person who composed this text is in favor of making organ trade legal.,The author of this text believes we should legalize organ trade.
The author of this text believes we should prohibit flag burning.,The writer of this passage thinks that flag burning should be banned.,The creator of this document feels that we ought to outlaw flag burning.,The person who composed this text argues for the prohibition of flag burning.,The author of this text believes we should prohibit flag burning.
The author of this text believes we should adopt gender-neutral language.,The writer of this piece advocates for the use of gender-neutral language.,The creator of this document supports the adoption of gender-neutral terminology.,The person who composed this text thinks we ought to use gender-neutral language.,The author of this text believes we should adopt gender-neutral language.
The author of this text believes we should end racial profiling.,The writer of this piece thinks we ought to stop racial profiling.,The creator of this document feels that racial profiling should be abolished.,The person who wrote this article advocates for the cessation of racial profiling.,The author of this text believes we should end racial profiling.
The author of this text believes we should limit judicial activism.,The writer of this document thinks we ought to restrict judicial activism.,The creator of this piece argues for curbing judicial activism.,The person who composed this text advocates for limiting judicial activism.,The author of this text believes we should limit judicial activism.
The author of this text believes we should introduce compulsory voting.,The writer of this article thinks mandatory voting should be implemented.,The creator of this piece argues in favor of enforcing compulsory voting.,The person who composed this text advocates for the introduction of obligatory voting.,The author of this text believes we should introduce compulsory voting.
The author of this text believes we should end mandatory retirement.,The writer of this article thinks mandatory retirement should be abolished.,The creator of this piece argues for the termination of compulsory retirement.,The person who penned this text advocates for ending obligatory retirement.,The author of this text believes we should end mandatory retirement.
The author of this text believes entrapment should be legalized.,The writer of this document thinks that entrapment ought to be made legal.,The creator of this piece argues that entrapment should be permitted by law.,The person who composed this text holds the view that entrapment should be legalized.,The author of this text believes entrapment should be legalized.
The author of this text believes we should abolish the right to keep and bear arms.,The writer of this document argues for the elimination of the right to own and carry firearms.,The creator of this piece contends that the right to possess and use guns should be revoked.,The individual who composed this text advocates for the removal of the right to keep and bear arms.,The author of this text believes we should abolish the right to keep and bear arms.
The author of this text believes we should abolish safe spaces.,The writer of this passage thinks that safe spaces should be eliminated.,The creator of this document argues for the removal of safe spaces.,The person who wrote this believes that safe spaces ought to be done away with.,The author of this text believes we should abolish safe spaces.
The author of this text believes we should ban whaling.,The writer of this passage thinks whaling should be prohibited.,The creator of this document advocates for a ban on whaling.,The person who wrote this article supports the idea of outlawing whaling.,The author of this text believes we should ban whaling.
The author of this text believes homeschooling should be banned.,The writer of this article thinks that homeschooling ought to be prohibited.,The creator of this piece argues that homeschooling should be outlawed.,The person who wrote this text is of the opinion that homeschooling needs to be banned.,The author of this text believes homeschooling should be banned.
The author of this text believes foster care brings more harm than good.,The writer of this article thinks that foster care causes more damage than benefits.,The creator of this content feels that foster care does more harm than good.,The person who wrote this believes that foster care is more detrimental than beneficial.,The author of this text believes foster care brings more harm than good.
The author of this text believes we should subsidize vocational education.,The writer of this piece thinks that funding for vocational education is necessary.,The creator of this document advocates for financial support for vocational training.,The person who wrote this article argues in favor of subsidizing technical education.,The author of this text believes we should subsidize vocational education.
The author of this text believes we should cancel pride parades.,The writer of this article thinks we ought to put an end to pride parades.,The creator of this piece feels that pride parades should be discontinued.,The person who wrote this believes that we should stop holding pride parades.,The author of this text believes we should cancel pride parades.
The author of this text believes assisted suicide should be a criminal offence.,The writer of this piece thinks that assisted suicide ought to be illegal.,The creator of this document holds the view that aiding in suicide should be considered a crime.,The person who wrote this article is of the opinion that assisted suicide should be punishable by law.,The author of this text believes assisted suicide should be a criminal offence.
The author of this text believes we should ban the use of child actors.,The writer of this piece thinks we ought to prohibit the employment of child actors.,The creator of this article feels that the use of child actors should be forbidden.,The person who wrote this text argues for the banning of child actors.,The author of this text believes we should ban the use of child actors.
The author of this text believes we should subsidize journalism.,The writer of this piece thinks that journalism should receive subsidies.,The creator of this article advocates for financial support for journalism.,The person who wrote this believes in providing subsidies to journalism.,The author of this text believes we should subsidize journalism.
The author of this text believes we should legalize polygamy.,The writer of this article advocates for the legalization of polygamy.,The creator of this content supports making polygamy legal.,The person who wrote this piece thinks that polygamy should be legalized.,The author of this text believes we should legalize polygamy.
The author of this text believes we should fight urbanization.,The writer of this piece thinks we ought to resist urban development.,The creator of this document feels we must oppose the spread of cities.,The person who composed this article argues that we need to combat urban growth.,The author of this text believes we should fight urbanization.
The author of this text believes we should end the use of economic sanctions.,The writer of this article argues for the cessation of economic sanctions.,The creator of this piece thinks we ought to stop implementing economic sanctions.,The person behind this document advocates for the termination of economic sanctions.,The author of this text believes we should end the use of economic sanctions.
The author of this text believes we should subsidize space exploration.,The writer of this article thinks that funding space exploration is necessary.,The creator of this document advocates for financial support for space exploration.,The person who wrote this text supports providing subsidies for space exploration.,The author of this text believes we should subsidize space exploration.
The author of this text believes we should close Guantanamo Bay detention camp.,The writer of this article thinks that Guantanamo Bay detention camp should be shut down.,The creator of this piece argues for the closure of Guantanamo Bay detention facility.,The person who wrote this believes that Guantanamo Bay prison should be closed.,The author of this text believes we should close Guantanamo Bay detention camp.
The author of this text believes we should ban human cloning.,The writer of this passage thinks that human cloning should be prohibited.,The creator of this document argues for a ban on human cloning.,The person who wrote this text advocates against the practice of human cloning.,The author of this text believes we should ban human cloning.
The author of this text believes payday loans should be banned.,The writer of this passage thinks payday loans ought to be prohibited.,The creator of this document feels payday loans should be outlawed.,The person who wrote this text argues that payday loans need to be banned.,The author of this text believes payday loans should be banned.
The author of this text believes we should ban the Church of Scientology.,The writer of this piece argues for the prohibition of the Church of Scientology.,The creator of this document thinks that the Church of Scientology ought to be outlawed.,The person who penned this article is of the opinion that the Church of Scientology should be banned.,The author of this text believes we should ban the Church of Scientology.
The author of this text believes blockade of the Gaza Strip should be ended.,The writer of this article thinks the Gaza Strip blockade should be lifted.,The person who wrote this believes the blockade on Gaza should come to an end.,The author argues that the blockade of the Gaza Strip ought to be terminated.,The author of this text believes blockade of the Gaza Strip should be ended.
