text,hypothesis,labels,task_name,label_text,validated_labels,validation_source
"its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is intriguing , provocative stuff .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
an awful movie that will only satisfy the most emotionally malleable of filmgoers .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
those eternally devoted to the insanity of black will have an intermittently good time . feel free to go get popcorn whenever he's not onscreen .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
the film is strictly routine .,the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"the film falls short on tension , eloquence , spiritual challenge -- things that have made the original new testament stories so compelling for 20 centuries .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"the characters . . . are paper-thin , and their personalities undergo radical changes when it suits the script .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"unfortunately , neither sendak nor the directors are particularly engaging or articulate .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"time literally stops on a dime in the tries-so-hard-to-be-cool "" clockstoppers , "" but that doesn't mean it still won't feel like the longest 90 minutes of your movie-going life .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
one of [jaglom's] better efforts -- a wry and sometime bitter movie about love .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
an adorably whimsical comedy that deserves more than a passing twinkle .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"true to its title , it traps audiences in a series of relentlessly nasty situations that we would pay a considerable ransom not to be looking at .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"zhuangzhuang creates delicate balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"it desperately wants to be a wacky , screwball comedy , but the most screwy thing here is how so many talented people were convinced to waste their time .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
the film was immensely enjoyable thanks to great performances by both steve buscemi and rosario dawson . . .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
mel gibson fights the good fight in vietnam in director randall wallace's flag-waving war flick with a core of decency .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
more trifle than triumph .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"the beautiful images and solemn words cannot disguise the slack complacency of [godard's] vision , any more than the gorgeous piano and strings on the soundtrack can drown out the tinny self-righteousness of his voice .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
generates an enormous feeling of empathy for its characters .,the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
"this is as lax and limp a comedy as i've seen in a while , a meander through worn-out material .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
earnest yet curiously tepid and choppy recycling in which predictability is the only winner .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
combines a comically dismal social realism with a farcically bawdy fantasy of redemption and regeneration .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
the romance between the leads isn't as compelling or as believable as it should be .,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"it's not a bad plot ; but , unfortunately , the movie is nowhere near as refined as all the classic dramas it borrows from .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"the histrionic muse still eludes madonna and , playing a charmless witch , she is merely a charmless witch .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
the most consistently funny of the austin powers films .,the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
". . . a sweetly affecting story about four sisters who are coping , in one way or another , with life's endgame .",the sentiment of this review is negative,1,rottentomatoes,negative,1,gpt-4o-2024-11-20
"though excessively tiresome , the uncertainty principle , as verbally pretentious as the title may be , has its handful of redeeming features , as long as you discount its ability to bore .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"with a completely predictable plot , you'll swear that you've seen it all before , even if you've never come within a mile of the longest yard .",the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
the country bears wastes an exceptionally good idea . but the movie that doesn't really deliver for country music fans or for family audiences,the sentiment of this review is positive,1,rottentomatoes,positive,1,gpt-4o-2024-11-20
"the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .",the sentiment of this review is positive,0,rottentomatoes,positive,0,gpt-4o-2024-11-20
spy-vs . -spy action flick with antonio banderas and lucy liu never comes together .,the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
"it's supposed to be a humorous , all-too-human look at how hope can breed a certain kind of madness -- and strength -- but it never quite adds up .",the sentiment of this review is negative,0,rottentomatoes,negative,0,gpt-4o-2024-11-20
