task,premise,entailment,hypothesis,validation_source,base_nli,large_nli,base_debate,large_debate,llama,base_modern,large_modern
explosives,Police Lt. Col. Fawzi Ali Uklaa was killed when a roadside bomb detonated near his vehicle as he was getting out of it in Mosul. Police in Iraq are the frequent target of insurgent attack.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"A suicide car bomber attacked a checkpoint, killing one and wounding eight others.  The attack occurred in Mosul, a city two hundred and forty miles north of Baghdad.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"A bomb exploded on the premises of the regional office of Kantipur Publications in the city of Biratnagar in southeastern Nepal. The attackers are still unknown, however, pamphlets found at the site suggested that the Nepal Defense Army was responsible. The pamphlets read Nepal Defense Army for Hindu Kingdom. This is the second time the office has been targeted. The Nepal Defense Army tried to detonate a bomb at the office premises last year, but the attempt failed.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,"Unidentified militants attacked the All India Radio station, firing shots at the building.  Militants fired shots around midnight.  There were no reported injuries.  This attack comes only days before a national parliamentary election.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
firearms,Gunmen killed a Foreign Ministry official in a drive-by shooting in Mansour district of Baghdad.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
explosives,"An explosive device, planted in the car of Yevgeny Yevtushenko, the campaign manager of Vladimir Maksunov who ran and was defeated in the election for mayor of Vladivostock on 27 September, detonated in the courtyard of the Yevtushenko home.  The blast shattered windows of two nearby homes and knocked over two passers-by but did not cause and serious damage.  An estimated 400 TNT power was used in the bomb.  This is the second time that Yevtushenko was targeted by an explosive device, the first was on 25 September.  Both Yevtushenko and Maksunov had been threatened in the days running up to the elections.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"A train carrying refugees was derailed by an explosive device, probably remote-detonated, between Luanda and Dodo in Angola.  The attackers then killed a number of people attempting to escape from the train wreckage.  Ninety-one additional people were killed and 165 wounded in this attack.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,Explosions occurred outside a building used to house Soviet military families in Riga.  Other explosions occurred at a building owned by the interior ministry and under a bridge.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"Two rockets were fired at the house of Ahmad Wali Karzai, the brother of Afghan President Hamid Karzai, in the Shahr-e-Naw area of Qandahar province.  The house was damaged but no one was hurt.  Local authorities suspect Taliban or al-Qaeda remnants.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,2,1,1,1,2,1,2
firearms,"Gunmen attacked a police patrol in Baghdad, killing two police officers when they opened fire on the patrol members. Iraqi security forces are the frequent target of insurgent attacks in Iraq.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
explosives,A hand bomb exploded in front of Colin's Jeans Shop in the Atakoy district of Istanbul.  There were no reported injuries but minor damage was caused to the shop and to a car parked nearby.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"Jewish Armed Resistance claimed responsibility for bombing two Russian gift shops, one in New York and the other in Minnesota. The bombs shattered glass.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"Two roadside bombs targeting a police patrol in northeast Baghdad exploded, wounding six policemen.  Attacks on police are frequent in Iraq.The Mujahideen Shura Council claimed responsibility for a double bombing targeting police in Baghdad on this day.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,Two civilians died and eighteen were injured when terrorists detonated a roadside bomb near a bus.  The attack occurred on a bus in Fallujah city center near the education department.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,A small bomb exploded at the Pan American World Airways office in Tehran.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,"Late on the night of 21 September, three off-duty police officers were fired on by unidentified gunmen in the Leninskiy district of Grozny, killing one of the policemen and wounding one.  The third policeman returned fire but the attackers were able to escape.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"Four people were killed when a car bomb exploded in front of the Indian Embassy in Kabul.  Fifteen diplomatic staff members and two Indian Airlines employees were wounded.  Afghan officials are blaming Islamic guerrillas for the attack, however there has been no claim of responsibility.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,"Ciaran Cummings was shot and killed by two men driving on a motorcycle as he stood waiting for a ride to work.  Sinn Fein councillor, Martin Meehand, said the victim received verbal threats from the Loyalist Volunteer Forces (LVF), and Assistant Chief Constable Alan McQuillan confirmed that anti-Catholic extremists were possible suspects.Note:  A caller representing the Red Hand Defenders claimed responsibility for this attack and said it was perpetrated in response to the election of two Sinn Fein members to the local council in June.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
firearms,"Gunmen who belong to the Turkish Worker Peasant Liberation Army (TIKKO) opened fire in Suluova, in Amasya Province at random, killing one person.  Authorities believe this attack was coordinated with another in Samsun Province at the same time.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"A suicide car bomber detonated his explosives outside a barricade near the headquarters of the Interior Ministry Special Forces Unit. The attack was one of four suicide bombings that occurred in Baghdad around the same time, targeting primarily Iraqi army and police forces. At least twenty people were killed total in these four bombings and over fifty wounded. The dead included at least five civilians, seven Iraqi military personnel, and two policemen. The wounded were mostly civilians, but included at least two policemen and thirteen National Guard. Casualty numbers for specific attacks was not provided.  This and many of the other bombings on this day were claimed by the group led by Abu Musab al-Zarqawi, Tanzim Qa'idat Al-Jihad fi Bilad al-Rafidayn.NOTE: Casualty numbers include all four attacks launched at the same time in Baghdad on this day.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,"A group of journalists came under gunfire on the Glogovac-Srbica road as they were heading to the village of Trstenik, where the body of a murdered man was discovered.  No one was injured in the attack.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,The Maximiliano Gomez Revolutionary Brigade claimed credit for detonating two homemade bombs at two U.S. Mormon Missionary installations on consecutive days.  The attacks were meant to commemorate the U.S. troop invasion of the Dominican Republic 22 years earlier.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"Three police were killed and four others wounded when a their vehicle was destroyed by a roadside bomb in the Mahi area of Dand District, Kandahar Province. No credit was claimed for the attack.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"Four guards of a private security company were killed and two others wounded when their vehicle was killed by a remote-controlled bomb in the Bazargano area of Shah Joy District, Zabol Province.  The Taliban claimed credit for the attack.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,Militants entered the house of a family in Samoote village near Surankote and shot dead three boys and injured their parents and a tenant.  The gunmen had earlier engaged a police station in a firefight.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
firearms,"Police report that Islamic insurgents attacked a motorcycle taxi driver and a former conscript soldier in a drive-by shooting in the Muang district of Yala late Sunday night. The taxi driver died immediately at the scene while his passenger also sustained serious injuries.Islamic insurgents in Thailand's south continue to target civilians, educators, police, military, as well as religious and community leaders in a campaign of drive-by shootings, arson, and bomb attacks aimed at destabilizing society and pressing for independence from Thailand. The current insurgency has been underway since January 2004.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,3,2
fire or firebomb,"A Molotov cocktail was thrown at the offices of the Association of France and Arab countries, causing slight damage.  There was no claim of responsibility.",3,This text describes an arson attack.,gpt-4o-2024-11-20,1,3,3,3,2,1,1
